sno,model_name,path,id,signals,constants,description_model_name,descripton,requirement,bucket
1,Lux_Model,./Lux_Model/,Lux_Req_1_1,w_sat,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The angular velocity of the satellite should always be lower than 1.5 m/s,1
2,Lux_Model,./Lux_Model/,Lux_Req_1_2,q_estimate,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The estimated altitude of the satellite should be always equal to 1,1
3,Lux_Model,./Lux_Model/,Lux_Req_1_3,torque,T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",the maximum reaction torque must be equal to 0.015 Nm,1
4,Lux_Model,./Lux_Model/,Lux_Req_1_4,"q_error,q_target,q_real,q_estimate",T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite should reach the desired position within 2700 s,2
5,Lux_Model,./Lux_Model/,Lux_Req_1_4_1,"q_real,q_estimate",T=86400, SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite should estimates its position correctly within 2000 s,2
7,Lux_Model,./Lux_Model/,Lux_Req_2_1,"KE,CE,PE","T=86400,", SatEx model,"A satellite control system which helps always keep the satellite on the desired orbit, ensures that the satellite is always facing the earth, and regulates the satellite speed. ",The satellite shall constantly keep its attitude pointing towards the earth,3
13,Autopilot_Model,./Autopilot/,Autopilot_Req_1_4_1,"Tk,Phi,PhiRef",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,Steady state roll commands shall be tracked within 1 degree in calm air,2
14,Autopilot_Model,./Autopilot/,Autopilot_Req_1_4_2,"Tk,Phi,PhiRef",T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,Response to roll step commands shall not exceed 10% overshoot in calm air,2
16,Autopilot_Model,./Autopilot/,Autopilot_Req_1_6,Phi,T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,The maximum roll angle (Phi) allowed shall be 30 deg +/-10% in calm air,1
17,Autopilot_Model,./Autopilot/,Autopilot_Req_1_7,AilCmd,T=200000, Autopilot model,A full six degree of freedom simulation of a single-engined high-wing propeller-driven airplane with autopilot.A six degree of freedom simulation enables movement and rotation of a rigid body in three-dimensional space.,The maximum aileron command (AilCmd) allowed shall be 15 deg,2
